"DepMap_ID"	"stripped_cell_line_name"	"CCLE_Name"	"alias"	"COSMIC_ID"	"lineage"	"lineage_subtype"	"lineage_sub_subtype"	"lineage_molecular_subtype"	"sex"	"source"	"Achilles_n_replicates"	"cell_line_NNMD"	"culture_type"	"culture_medium"	"cas9_activity"	"RRID"	"sample_collection_site"	"primary_or_metastasis"	"disease"	"disease_subtype"	"age"	"Sanger_model_ID"	"additional_info"	"Type_for_Manuscript"	"Class_for_Manuscript"	"Estimated_Doubling_Time_Hours"	"LiteratureSearch_Age_Sex_Match_DepMap_Annotation"	"LiteratureSearch_Previous_Treatment"	"LiteratureSearch_Previous_Treatment_Details"	"LiteratureSearch_Paper_PMC_ID"	"LiteratureSearch_Year_Earliest_Citation"	"LiteratureSearch_Other_Annotations"	"Dependency"	"RNAseq"	"WES"	"SangerWES"	"SNParray"
"ACH-000001"	"NIHOVCAR3"	"NIHOVCAR3_OVARY"	"OVCAR3"	905933	"ovary"	"ovary_adenocarcinoma"	"high_grade_serous"	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_0465"	"ascites"	"Metastasis"	"Ovarian Cancer"	"Adenocarcinoma, high grade serous"	60	"SIDM00105"	""	"Ovarian"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000003"	"CACO2"	"CACO2_LARGE_INTESTINE"	"CACO2, CaCo-2"	NA	"colorectal"	"colorectal_adenocarcinoma"	""	""	"Male"	"ATCC"	NA	NA	""	""	""	"CVCL_0025"	"Colon"	""	"Colon/Colorectal Cancer"	"Adenocarcinoma"	NA	"SIDM00891"	""	"Colon/Colorectal"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"CCLE"
"ACH-000007"	"LS513"	"LS513_LARGE_INTESTINE"	""	907795	"colorectal"	"colorectal_adenocarcinoma"	""	""	"Male"	"ATCC"	2	-2.5867076230269	"Adherent"	"RPMI 1640 + 10% FBS"	"52.3"	"CVCL_1386"	"large_intestine"	"Primary"	"Colon/Colorectal Cancer"	"Adenocarcinoma"	63	"SIDM00677"	""	"Colon/Colorectal"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000008"	"A101D"	"A101D_SKIN"	""	910921	"skin"	"melanoma"	""	""	"Male"	"ATCC"	NA	NA	""	""	""	"CVCL_1057"	"skin"	""	"Skin Cancer"	"Melanoma"	56	"SIDM00801"	""	"Skin"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000009"	"C2BBE1"	"C2BBE1_LARGE_INTESTINE"	""	910700	"colorectal"	"colorectal_adenocarcinoma"	""	""	"Male"	"ATCC"	3	-4.14010960358523	"Adherent"	"D10+ITS+Glu"	"5.8"	"CVCL_1096"	"Colon"	"Primary"	"Colon/Colorectal Cancer"	"Adenocarcinoma"	72	"SIDM01233"	""	"Colon/Colorectal"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000010"	"NCIH2077"	"NCIH2077_LUNG"	"NCI-H1581"	NA	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"Male"	"Academic lab"	NA	NA	""	""	""	"CVCL_5157"	"lung"	""	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	NA	""	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"no"	"CCLE"	"no"	"no"	"no"
"ACH-000011"	"253J"	"253J_URINARY_TRACT"	""	NA	"urinary_tract"	"bladder_carcinoma"	""	""	"Male"	"KCLB"	1	-3.18037938021089	"Adherent"	"DMEM: 90.0%"	"11"	"CVCL_7935"	"lymph_node"	"Metastasis"	"Bladder Cancer"	"Carcinoma"	53	""	""	"Bladder"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"CCLE"	"no"	"no"
"ACH-000012"	"HCC827"	"HCC827_LUNG"	""	1240146	"lung"	"NSCLC"	"NSCLC_adenocarcinoma"	""	"Female"	"ATCC"	3	-4.32335020197453	"Adherentepithelialdensity >30%"	"RPMI; 10% FBS"	"12.7"	"CVCL_2063"	"lung"	"Primary"	"Lung Cancer"	"Non-Small Cell Lung Cancer (NSCLC), Adenocarcinoma"	39	"SIDM01067"	""	"Non-Small Cell Lung"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000013"	"ONCODG1"	"ONCODG1_OVARY"	""	NA	"ovary"	"ovary_adenocarcinoma"	"high_grade_serous"	""	"Female"	"DSMZ"	2	-5.31986219931575	"Adherent"	"RPMI; 10% FBS"	"8"	"CVCL_1882"	"ascites"	"Metastasis"	"Ovarian Cancer"	"Adenocarcinoma, high grade serous"	60	"SIDM00093"	""	"Ovarian"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000014"	"HS294T"	"HS294T_SKIN"	"A101D, Hs 294.T"	NA	"skin"	"melanoma"	""	""	"Male"	"ATCC"	2	-3.48498648791383	"Adherent"	"DMEM: 90.0%; 10%FBS"	"15.1"	"CVCL_0331"	"lymph_node"	"Metastasis"	"Skin Cancer"	"Melanoma"	56	"SIDM00800"	""	"Skin"	"Adult"	NA	NA	NA	NA	NA	NA	NA	"DepMap"	"CCLE"	"no"	"no"	"CCLE"
