"DepMap_ID"	"stripped_cell_line_name"	"CCLE_Name"	"alias"	"COSMIC_ID"	"lineage"	"lineage_subtype"	"lineage_sub_subtype"	"lineage_molecular_subtype"	"sex"	"source"	"Achilles_n_replicates"	"cell_line_NNMD"	"culture_type"	"culture_medium"	"cas9_activity"	"RRID"	"sample_collection_site"	"primary_or_metastasis"	"disease"	"disease_subtype"	"age"	"Sanger_model_ID"	"additional_info"	"Type_for_Manuscript"	"Class_for_Manuscript"	"Estimated_Doubling_Time_Hours"	"LiteratureSearch_Age_Sex_Match_DepMap_Annotation"	"LiteratureSearch_Previous_Treatment"	"LiteratureSearch_Previous_Treatment_Details"	"LiteratureSearch_Paper_PMC_ID"	"LiteratureSearch_Year_Earliest_Citation"	"LiteratureSearch_Other_Annotations"	"Dependency"	"RNAseq"	"WES"	"SangerWES"	"SNParray"
"ACH-000039"	"SKNMC"	"SKNMC_BONE"	""	NA	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"Female"	"ATCC"	3	-2.53328067821478	"Adherent"	"EMEM: 10%FBS"	"34.7"	"CVCL_0530"	"bone"	"Metastasis"	"Bone Cancer"	"Ewings Sarcoma"	14	"SIDM00634"	""	"Ewing"	"Pediatric"	NA	"Cellosaurus lists as 12 Y F -- confirmed in original case report"	"Pre-treated"	"4 rounds radiotherapy, Vincristine, Cyclophosphamide, Doxorubicin, Actinomycin"	"4748425; 24312454"	1973	"previously ID'd as neuroblastoma"	"DepMap"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000041"	"RDES"	"RDES_BONE"	""	NA	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"Male"	"ATCC"	2	-2.73163733646074	"Semi-Adherent"	"RPMI; 15% FBS"	"11.7"	"CVCL_2169"	"bone"	"Primary"	"Bone Cancer"	"Ewings Sarcoma"	19	""	""	"Ewing"	"Pediatric"	NA	"Y"	"Unknown"	""	"8221663"	1993	"previously ID'd as rhabdo"	"DepMap"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000051"	"TE617T"	"TE617T_SOFT_TISSUE"	""	NA	"soft_tissue"	"rhabdomyosarcoma"	""	""	"Female"	"ATCC"	NA	NA	""	""	""	"CVCL_1755"	"soft_tissue"	"Primary"	"Sarcoma"	"Rhabdomyosarcoma"	1.67	""	""	"Rhabdomyosarcoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"19235922"	2009	""	"no"	"CCLE"	"CCLE"	"no"	"CCLE"
"ACH-000052"	"A673"	"A673_BONE"	""	684052	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"Female"	"ATCC"	2	-2.94566501731343	"Adherent"	"DMEM; 10% FBS"	"32.8"	"CVCL_0080"	"soft_tissue"	"Primary"	"Bone Cancer"	"Ewings Sarcoma"	15	"SIDM00848"	""	"Ewing"	"Pediatric"	NA	"Y"	"Unknown"	""	"4357758; 24312454"	1971	"previously ID'd as rhabdo"	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000055"	"D283MED"	"D283MED_CENTRAL_NERVOUS_SYSTEM"	"D283"	906834	"central_nervous_system"	"medulloblastoma"	"med_group_3"	"MYC_exp"	"Male"	"ATCC"	3	-3.77276001678153	"Semi-Adherent"	"E10"	"30.7"	"CVCL_1155"	"abdomen"	"Metastasis"	"Brain Cancer"	"Medulloblastoma"	6	"SIDM00888"	""	"Medulloblastoma"	"Pediatric"	NA	"Y"	"Pre-treated"	""	"4056828"	1985	""	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000078"	"MHHNB11"	"MHHNB11_AUTONOMIC_GANGLIA"	""	908135	"peripheral_nervous_system"	"neuroblastoma"	""	"MYCN_amp"	"Male"	"DSMZ"	3	-2.18855398849085	"Semi-Adherent"	"RPMI-1640: 10%FBS"	"39.7"	"CVCL_1412"	"autonomic_ganglia"	"Metastasis"	"Neuroblastoma"	""	4	"SIDM00387"	""	"Neuroblastoma"	"Pediatric"	NA	"Y"	"Pre-treated"	"adriamycin, cyclophosphamide, vincristine, dacarbacin; cisplatin, cyclophosphamide, VM26"	"3218965"	1988	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000082"	"G292CLONEA141B1"	"G292CLONEA141B1_BONE"	"G292CLONEA141B1, G-292 clone A141B1"	1290807	"bone"	"osteosarcoma"	""	""	"Female"	"ATCC"	2	-4.3658537833166	"Adherent"	"M10"	"24.8"	"CVCL_2909"	"bone"	"Primary"	"Bone Cancer"	"Osteosarcoma"	9	"SIDM00858"	""	"Osteosarcoma"	"Pediatric"	NA	"Y"	"Unknown"	""	"6288710; DOI 10.1203/00006450-197804001-00732"	1978	""	"DepMap"	"CCLE"	"no"	"Sanger"	"CCLE"
"ACH-000087"	"SKES1"	"SKES1_BONE"	""	684072	"bone"	"Ewing_sarcoma"	""	"EWS_FLI"	"Male"	"ATCC"	2	-3.08213226028072	"Semi-Adherent"	"McCoy's 5A; 15% FBS"	"42"	"CVCL_0627"	"bone"	"Primary"	"Bone Cancer"	"Ewings Sarcoma"	18	"SIDM01111"	""	"Ewing"	"Pediatric"	NA	"Y"	"Unknown"	""	"327080"	1977	""	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
"ACH-000095"	"D341"	"D341MED_CENTRAL_NERVOUS_SYSTEM"	"D341MED"	NA	"central_nervous_system"	"medulloblastoma"	"med_group_3"	"MYC_amp"	"Male"	"ATCC"	3	-2.80617477080487	"Semi-Adherent"	"DMEM:F12 (1:1); 15% FBS"	"4.4"	"CVCL_0018"	"central_nervous_system"	""	"Brain Cancer"	"Medulloblastoma"	3.5	""	""	"Medulloblastoma"	"Pediatric"	NA	"Y"	"None"	""	"3279793"	1988	"treated with radiotherapy post-craniectomy from which tumor is taken"	"DepMap"	"CCLE"	"DepMap"	"no"	"CCLE"
"ACH-000096"	"G401"	"G401_SOFT_TISSUE"	""	907299	"kidney"	"malignant_rhabdoid_tumor"	""	""	"Male"	"ATCC"	2	-2.40530854707555	"Adherent"	"McCoy's 5A;10% FBS;"	"62"	"CVCL_0270"	"kidney"	"Primary"	"Rhabdoid"	"Malignant Rhabdoid Tumor"	0.25	"SIDM00856"	""	"Rhabdoid"	"Pediatric"	NA	"Y"	"None"	""	"8382007"	1993	"previously ID'd as Wilms tumor"	"DepMap"	"CCLE"	"DepMap"	"Sanger"	"CCLE"
