"Gene"	"p.value.adj"	"Difference in pediatric vs adult fraction"	"Fraction of adult lines dependent"	"Fraction of pediatric lines dependent"
"MCL1 (4170)"	"0.632746353936269"	0.133252458179032	0.513089005235602	0.646341463414634
"CDK4 (1019)"	"1"	0.0252628442514792	0.49912739965096	0.524390243902439
"UXS1 (80146)"	"0.254128533955115"	-0.187225982207466	0.467713787085515	0.280487804878049
"UBIAD1 (29914)"	"0.227592840124023"	-0.180181330609118	0.424083769633508	0.24390243902439
"C3orf38 (285237)"	"1"	-0.0407993870514621	0.418848167539267	0.378048780487805
"TYMS (7298)"	"1"	-0.0355637849572213	0.413612565445026	0.378048780487805
"KRAS (3845)"	"0.614349869525613"	-0.110458434427276	0.403141361256544	0.292682926829268
"SREBF1 (6720)"	"0.00315573491288695"	-0.272464138253948	0.394415357766143	0.121951219512195
"EFR3A (23167)"	"0.00183503631050973"	-0.282914059507087	0.392670157068063	0.109756097560976
"RAB18 (22931)"	"0.5112744955636"	-0.11563018771549	0.371727748691099	0.25609756097561
"IRS2 (8660)"	"0.184579626318576"	0.215383305665517	0.369982547993019	0.585365853658537
"PIK3CA (5290)"	"0.514168128379286"	0.130017452006981	0.369982547993019	0.5
"ITGB5 (3693)"	"0.832794199559994"	-0.0755331375303281	0.356020942408377	0.280487804878049
"FIS1 (51024)"	"0.442063875669245"	-0.122568424637126	0.354275741710297	0.231707317073171
"ELMO2 (63916)"	"1"	-0.0232622483292896	0.352530541012216	0.329268292682927
"ACSL3 (2181)"	"0.499239799001766"	0.130060017877666	0.345549738219895	0.475609756097561
"PTDSS1 (9791)"	"0.674678171071136"	-0.0894308943089431	0.333333333333333	0.24390243902439
"NXT1 (29107)"	"0.0112171193258138"	0.318243732175542	0.328097731239092	0.646341463414634
"SLC25A28 (81894)"	"0.995854018816514"	0.0430128123270762	0.31064572425829	0.353658536585366
"SOX10 (6663)"	"0.896595703355794"	-0.0632528838377389	0.307155322862129	0.24390243902439
"STAMBP (10617)"	"1"	-0.00749159324053977	0.300174520069808	0.292682926829268
"KLF5 (688)"	"0.00233852445080929"	-0.220001702634827	0.280977312390925	0.0609756097560976
"MDM2 (4193)"	"0.149806329065991"	0.187672923849657	0.275741710296684	0.463414634146341
"STX4 (6810)"	"0.0237760618275538"	-0.188630655940067	0.273996509598604	0.0853658536585366
"DHRSX (207063)"	"1"	0.014287695935636	0.25130890052356	0.280487804878049
"DNAJC13 (23317)"	"0.438607490889885"	-0.111948239901247	0.258289703315881	0.146341463414634
"YAP1 (10413)"	"0.257505649763092"	-0.126515066651731	0.24956369982548	0.121951219512195
"MARCH5 (54708)"	"1"	0.0291789043544886	0.25130890052356	0.280487804878049
"SOX9 (6662)"	"0.524194362603661"	-0.0927723151577065	0.25130890052356	0.158536585365854
"TUBB4B (10383)"	"0.0143414182065201"	-0.179862086578981	0.240837696335079	0.0609756097560976
"UAP1 (6675)"	"0.199356004607176"	-0.129336398076023	0.239092495636998	0.109756097560976
