"Type"	"PvA"	"Gene"	"n"	"n_dep"	"lrt_rate"	"n_PvA"	"type_lrt_rate"	"p.value"	"p.value.adj"	"Group"
"Colon/Colorectal"	"Adult"	"MYCN (4613)"	35	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Bladder"	"Adult"	"MYCN (4613)"	29	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Non-Small Cell Lung"	"Adult"	"MYCN (4613)"	76	2	0.00523560209424084	3	0.00349040139616056	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Ovarian"	"Adult"	"MYCN (4613)"	38	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Skin"	"Adult"	"MYCN (4613)"	53	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Breast"	"Adult"	"MYCN (4613)"	33	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Pancreatic"	"Adult"	"MYCN (4613)"	31	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Meningioma"	"Adult"	"MYCN (4613)"	2	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Glioma"	"Adult"	"MYCN (4613)"	45	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Sarcoma"	"Adult"	"MYCN (4613)"	2	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Ewing"	"Pediatric"	"MYCN (4613)"	14	0	0.207317073170732	17	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Gastric"	"Adult"	"MYCN (4613)"	25	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Fibrosarcoma"	"Adult"	"MYCN (4613)"	1	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Medulloblastoma"	"Pediatric"	"MYCN (4613)"	8	0	0.207317073170732	17	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Neuroblastoma"	"Pediatric"	"MYCN (4613)"	19	10	0.207317073170732	17	0.121951219512195	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Osteosarcoma"	"Pediatric"	"MYCN (4613)"	8	0	0.207317073170732	17	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Mesothelioma"	"Adult"	"MYCN (4613)"	9	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Rhabdoid"	"Pediatric"	"MYCN (4613)"	10	1	0.207317073170732	17	0.0121951219512195	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Prostate"	"Adult"	"MYCN (4613)"	1	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Kidney"	"Adult"	"MYCN (4613)"	20	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Gallbladder"	"Adult"	"MYCN (4613)"	3	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Thyroid"	"Adult"	"MYCN (4613)"	5	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Rhabdomyosarcoma"	"Pediatric"	"MYCN (4613)"	11	4	0.207317073170732	17	0.048780487804878	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
pediatric lines
dependent"
"Bile Duct"	"Adult"	"MYCN (4613)"	25	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
"Small Cell Lung"	"Adult"	"MYCN (4613)"	16	0	0.00523560209424084	3	0	"1.50182368419382e-12"	"8.60544971043061e-10"	"Fraction of
adult lines
dependent"
