"sampleID"	"DepMap_ID"	"PvA"	"UMAP_1"	"UMAP_2"	"lineage"	"subtype"	"Primary/Metastasis"	"type"	"cluster"	"cancer_type"	"RF_class"	"RF_probability"	"RF_probability_margin"	"Celligner_class"	"Celligner_class_confidence"	"uncorrected_tumor_class"	"uncorrected_tumor_prop"	"undifferentiated_cluster"
"NIHOVCAR3_OVARY"	"ACH-000001"	"Adult"	2.63173815639869	-8.31405057538328	"ovary"	"adenocarcinoma, high grade serous"	NA	"CL"	13	"ovary"	"uterus"	0.249985714285714	0.0514777777777779	"ovary"	0.92	"uterus"	0.68	FALSE
"CACO2_LARGE_INTESTINE"	"ACH-000003"	"Adult"	-2.75507032131386	6.06068604852133	"colorectal"	"adenocarcinoma"	NA	"CL"	63	"colorectal"	"gastric"	0.121005555555556	0.00931666666666665	"gastric"	0.52	"colorectal"	0.8	FALSE
"LS513_LARGE_INTESTINE"	"ACH-000007"	"Adult"	-9.49196679152437	7.53987474631431	"colorectal"	"adenocarcinoma"	NA	"CL"	1	"colorectal"	"colorectal"	0.313799206349206	0.190911111111111	"colorectal"	1	"colorectal"	1	FALSE
"A101D_SKIN"	"ACH-000008"	"Adult"	6.44170499736328	0.852326739544891	"skin"	NA	NA	"CL"	53	"skin"	"skin"	0.59375873015873	0.548114285714286	"skin"	1	"skin"	1	FALSE
"C2BBE1_LARGE_INTESTINE"	"ACH-000009"	"Adult"	-2.85382269157796	6.14623378396455	"colorectal"	"adenocarcinoma"	NA	"CL"	63	"colorectal"	"colorectal"	0.119011111111111	0.016918253968254	"gastric"	0.56	"colorectal"	0.8	FALSE
"NCIH2077_LUNG"	"ACH-000010"	"Adult"	5.81802639061933	-2.3333175956728	"lung"	"non-small cell lung cancer, adenocarcinoma"	NA	"CL"	50	"lung"	"blood"	0.15227619047619	0.00354523809523813	"Rhabdoid"	0.76	"Rhabdoid"	0.2	FALSE
"253J_URINARY_TRACT"	"ACH-000011"	"Adult"	-0.116594327546706	-4.14796223285949	"urinary_tract"	"carcinoma"	NA	"CL"	17	"urinary_tract"	"blood"	0.148218253968254	0.00217380952380947	"kidney"	1	"kidney"	0.76	FALSE
"HCC827_LUNG"	"ACH-000012"	"Adult"	-9.46246924936692	0.111789348830544	"lung"	"non-small cell lung cancer, adenocarcinoma"	NA	"CL"	10	"lung"	"urinary_tract"	0.106992857142857	0.0093968253968254	"lung"	1	"cervix"	0.36	FALSE
"ONCODG1_OVARY"	"ACH-000013"	"Adult"	2.65189677566268	-8.32685096067643	"ovary"	"adenocarcinoma, high grade serous"	NA	"CL"	13	"ovary"	"uterus"	0.186649206349206	0.00794999999999993	"ovary"	1	"uterus"	0.68	FALSE
"HS294T_SKIN"	"ACH-000014"	"Adult"	6.36825217749901	0.644124995700259	"skin"	"neural crest-like"	NA	"CL"	53	"skin"	"skin"	0.607652380952381	0.565904761904762	"skin"	1	"skin"	1	FALSE
"NCIH1581_LUNG"	"ACH-000015"	"Adult"	5.85066755719465	-2.25519030486488	"lung"	"non-small cell lung cancer, large cell carcinoma"	NA	"CL"	50	"lung"	"Medulloblastoma"	0.111237301587302	0.00793412698412699	"Rhabdoid"	0.76	"Rhabdoid"	0.24	FALSE
